feature,jensen_shannon,kind,ks_p_value,ks_statistic,left,mann_whitney_p_value,normalized_wasserstein,right,smd
sequence_length,,continuous,0.9631682556353643,0.018058147913429235,train,0.6518918504574138,0.02323226154699036,selected,0.0004662131268967628
molecular_weight,,continuous,0.9645518214338777,0.017979147314413704,train,0.6683670879480255,0.023048428885362012,selected,0.001464164785475326
theoretical_isoelectric_point,,continuous,0.9759627030017433,0.01723081196989296,train,0.6043230265978284,0.02206943493241544,selected,0.018478921925262903
net_charge_at_pH_7,,continuous,0.9928172381478925,0.015416402607887906,train,0.5625423275510034,0.021724886619477433,selected,0.014330935596414492
gravy,,continuous,0.9735860233108022,0.017406175936938422,train,0.46244706153613035,0.036164600994761265,selected,-0.025329874279903904
aromatic_fraction,,continuous,0.9932859064086568,0.015332193178168054,train,0.5840269097838153,0.026945488286846928,selected,0.014935350158910926
positive_residue_fraction,,continuous,0.9312650595894846,0.019520961202892637,train,0.4546251466483653,0.026037985389163402,selected,0.02092961577530486
negative_residue_fraction,,continuous,0.999999999531471,0.00804069833056976,train,0.9932134650050822,0.018163818587023903,selected,0.010934261491314524
polar_residue_fraction,,continuous,0.9999999996467777,0.007990346300427992,train,0.9706471316309593,0.011824847822704031,selected,-0.0006601261249523038
hydrophobic_residue_fraction,,continuous,0.9840007463978221,0.016551059562979104,train,0.43956074691499314,0.03276047863845904,selected,-0.02409696263112024
sequence_shannon_entropy,,continuous,0.9713122325087705,0.017558968304265163,train,0.5358288947263478,0.022331295103403277,selected,0.016822288223293024
coordinate_coverage,,continuous,0.9999997840961417,0.00941062080580611,train,0.9523071809024451,0.010130116131281197,selected,-0.0023567726033000324
heavy_atom_count,,continuous,0.9603176075436802,0.018215280973009576,train,0.6107595812879332,0.024194708228621728,selected,-0.00013297612597902055
radius_of_gyration,,continuous,0.7680868507553632,0.024056116469454547,train,0.4208516996114139,0.029370401294278262,selected,-0.029103543147299262
radius_of_gyration_normalized,,continuous,0.9910773348318372,0.015701152019724107,train,0.5567347120130308,0.030866791459781082,selected,-0.030797603587341148
aspect_ratio,,continuous,0.9868686492786779,0.01624721110522706,train,0.7012129876984274,0.02249782724892591,selected,-0.017414650749740846
compactness,,continuous,0.9910773348318372,0.015701152019724107,train,0.5567347120130308,0.024321209487521388,selected,0.024019215217644798
packing_density,,continuous,0.9999999998954171,0.007785465626058044,train,0.9766108497224324,0.013732251570444214,selected,0.0037273642759748067
resolution,,continuous,0.9626065614033856,0.01869304520763454,train,0.8330068477057699,0.02884189126074595,selected,-0.011164424205534049
release_year,,continuous,0.3223080765377301,0.03462570210697202,train,0.1680440018603886,0.04802713755566988,selected,-0.04595456157170256
origin,4.086173167023948e-08,categorical,,,train,,,selected,
experimental_method,0.0014035214836084454,categorical,,,train,,,selected,
global_phenotype,0.0006500793806946096,categorical,,,train,,,selected,
sequence_length,,continuous,0.9081329949660228,0.03591348336467994,validation,0.898808487594399,0.0504400975441332,selected,-0.0015880317092634428
molecular_weight,,continuous,0.9743215457966359,0.030587262468383163,validation,0.9161329056929822,0.046824176457515035,selected,-0.002912792760099495
theoretical_isoelectric_point,,continuous,0.7325877902162963,0.043902814709125104,validation,0.8062098314908563,0.044778695884328465,selected,-0.025871026617187688
net_charge_at_pH_7,,continuous,0.7187666612642221,0.044445975744211684,validation,0.5899248307972902,0.06860488832235898,selected,-0.000843571614078143
