split,label,variable,statistic,value
train,negative,sequence_family,members,641
train,negative,sequence_family,sequence_clusters,629
train,negative,sequence_family,cluster_coverage_ratio,0.9812792511700468
train,positive,sequence_family,members,641
train,positive,sequence_family,sequence_clusters,623
train,positive,sequence_family,cluster_coverage_ratio,0.9719188767550702
val,negative,sequence_family,members,157
val,negative,sequence_family,sequence_clusters,154
val,negative,sequence_family,cluster_coverage_ratio,0.9808917197452229
val,positive,sequence_family,members,157
val,positive,sequence_family,sequence_clusters,155
val,positive,sequence_family,cluster_coverage_ratio,0.9872611464968153
test,negative,sequence_family,members,218
test,negative,sequence_family,sequence_clusters,218
test,negative,sequence_family,cluster_coverage_ratio,1.0
test,positive,sequence_family,members,218
test,positive,sequence_family,sequence_clusters,217
test,positive,sequence_family,cluster_coverage_ratio,0.9954128440366973
validation_reserve,negative,sequence_family,members,0
validation_reserve,negative,sequence_family,sequence_clusters,0
validation_reserve,negative,sequence_family,cluster_coverage_ratio,
validation_reserve,positive,sequence_family,members,85
validation_reserve,positive,sequence_family,sequence_clusters,83
validation_reserve,positive,sequence_family,cluster_coverage_ratio,0.9764705882352941
test_reserve,negative,sequence_family,members,0
test_reserve,negative,sequence_family,sequence_clusters,0
test_reserve,negative,sequence_family,cluster_coverage_ratio,
test_reserve,positive,sequence_family,members,23
test_reserve,positive,sequence_family,sequence_clusters,23
test_reserve,positive,sequence_family,cluster_coverage_ratio,1.0
train,negative,sequence_length,count,641
train,negative,sequence_length,minimum,46.0
train,negative,sequence_length,q1,144.0
train,negative,sequence_length,median,244.0
train,negative,sequence_length,q3,380.0
train,negative,sequence_length,maximum,2036.0
train,negative,resolution_angstrom,count,603
train,negative,resolution_angstrom,minimum,0.92
train,negative,resolution_angstrom,q1,1.7694999999999999
train,negative,resolution_angstrom,median,2.06
train,negative,resolution_angstrom,q3,2.692
train,negative,resolution_angstrom,maximum,4.0
train,negative,aspect_ratio,count,641
train,negative,aspect_ratio,minimum,1.1263922384799236
train,negative,aspect_ratio,q1,1.570849366424358
train,negative,aspect_ratio,median,1.8552520366815275
train,negative,aspect_ratio,q3,2.421247363142555
train,negative,aspect_ratio,maximum,18.22957897501774
train,negative,sequence_coverage,count,641
train,negative,sequence_coverage,minimum,0.8
train,negative,sequence_coverage,q1,0.9163179916317992
train,negative,sequence_coverage,median,0.964885496183206
train,negative,sequence_coverage,q3,0.992816091954023
train,negative,sequence_coverage,maximum,1.0
train,positive,sequence_length,count,641
train,positive,sequence_length,minimum,46.0
train,positive,sequence_length,q1,146.0
train,positive,sequence_length,median,242.0
train,positive,sequence_length,q3,401.0
train,positive,sequence_length,maximum,997.0
train,positive,resolution_angstrom,count,641
train,positive,resolution_angstrom,minimum,1.24
train,positive,resolution_angstrom,q1,2.35
train,positive,resolution_angstrom,median,2.8
train,positive,resolution_angstrom,q3,3.1
train,positive,resolution_angstrom,maximum,3.5
train,positive,aspect_ratio,count,641
train,positive,aspect_ratio,minimum,1.1567296983874007
train,positive,aspect_ratio,q1,1.7047619712522002
train,positive,aspect_ratio,median,2.1031584745180925
train,positive,aspect_ratio,q3,2.5621250241786147
train,positive,aspect_ratio,maximum,9.59868920362876
train,positive,sequence_coverage,count,641
train,positive,sequence_coverage,minimum,1.0
train,positive,sequence_coverage,q1,1.0
train,positive,sequence_coverage,median,1.0
train,positive,sequence_coverage,q3,1.0
train,positive,sequence_coverage,maximum,1.0
val,negative,sequence_length,count,157
val,negative,sequence_length,minimum,57.0
val,negative,sequence_length,q1,143.0
val,negative,sequence_length,median,246.0
val,negative,sequence_length,q3,402.0
val,negative,sequence_length,maximum,1679.0
val,negative,resolution_angstrom,count,148
val,negative,resolution_angstrom,minimum,1.0
val,negative,resolution_angstrom,q1,1.7
val,negative,resolution_angstrom,median,2.1
val,negative,resolution_angstrom,q3,2.655
val,negative,resolution_angstrom,maximum,3.96
val,negative,aspect_ratio,count,157
val,negative,aspect_ratio,minimum,1.1421663442151253
val,negative,aspect_ratio,q1,1.5574022606380238
val,negative,aspect_ratio,median,1.7932959143514362
val,negative,aspect_ratio,q3,2.188434541777413
val,negative,aspect_ratio,maximum,11.693871698879953
val,negative,sequence_coverage,count,157
val,negative,sequence_coverage,minimum,0.8024316109422492
val,negative,sequence_coverage,q1,0.9320843091334896
val,negative,sequence_coverage,median,0.975
val,negative,sequence_coverage,q3,1.0
val,negative,sequence_coverage,maximum,1.0089285714285714
val,positive,sequence_length,count,157
val,positive,sequence_length,minimum,44.0
val,positive,sequence_length,q1,133.0
val,positive,sequence_length,median,254.0
val,positive,sequence_length,q3,437.0
val,positive,sequence_length,maximum,990.0
val,positive,resolution_angstrom,count,157
val,positive,resolution_angstrom,minimum,1.3
val,positive,resolution_angstrom,q1,2.29
val,positive,resolution_angstrom,median,2.8
val,positive,resolution_angstrom,q3,3.1
val,positive,resolution_angstrom,maximum,3.5
val,positive,aspect_ratio,count,157
val,positive,aspect_ratio,minimum,1.261855060642845
val,positive,aspect_ratio,q1,1.6697918697132068
val,positive,aspect_ratio,median,1.9998226995552904
val,positive,aspect_ratio,q3,2.5357932465380952
val,positive,aspect_ratio,maximum,9.182307404576664
val,positive,sequence_coverage,count,157
val,positive,sequence_coverage,minimum,1.0
val,positive,sequence_coverage,q1,1.0
val,positive,sequence_coverage,median,1.0
val,positive,sequence_coverage,q3,1.0
val,positive,sequence_coverage,maximum,1.0
test,negative,sequence_length,count,218
test,negative,sequence_length,minimum,48.0
test,negative,sequence_length,q1,163.25
test,negative,sequence_length,median,286.5
test,negative,sequence_length,q3,397.0
test,negative,sequence_length,maximum,1166.0
test,negative,resolution_angstrom,count,200
test,negative,resolution_angstrom,minimum,1.04
test,negative,resolution_angstrom,q1,1.8
test,negative,resolution_angstrom,median,2.1
test,negative,resolution_angstrom,q3,2.8175
test,negative,resolution_angstrom,maximum,3.9
test,negative,aspect_ratio,count,218
test,negative,aspect_ratio,minimum,1.171713818651385
test,negative,aspect_ratio,q1,1.592702284084617
test,negative,aspect_ratio,median,1.9127824043277264
test,negative,aspect_ratio,q3,2.565702650927669
test,negative,aspect_ratio,maximum,15.922961290033571
test,negative,sequence_coverage,count,218
test,negative,sequence_coverage,minimum,0.8004291845493562
test,negative,sequence_coverage,q1,0.9191045168067227
test,negative,sequence_coverage,median,0.969309086629002
test,negative,sequence_coverage,q3,0.9997693726937269
test,negative,sequence_coverage,maximum,1.0030487804878048
test,positive,sequence_length,count,218
test,positive,sequence_length,minimum,32.0
test,positive,sequence_length,q1,139.75
test,positive,sequence_length,median,256.5
test,positive,sequence_length,q3,400.75
test,positive,sequence_length,maximum,979.0
test,positive,resolution_angstrom,count,218
test,positive,resolution_angstrom,minimum,1.401
test,positive,resolution_angstrom,q1,2.2025
test,positive,resolution_angstrom,median,2.7800000000000002
test,positive,resolution_angstrom,q3,3.1
test,positive,resolution_angstrom,maximum,3.5
test,positive,aspect_ratio,count,218
test,positive,aspect_ratio,minimum,1.1936581541853235
test,positive,aspect_ratio,q1,1.7808258083577795
test,positive,aspect_ratio,median,2.129821244434682
test,positive,aspect_ratio,q3,2.648568850759065
test,positive,aspect_ratio,maximum,10.51730507781808
test,positive,sequence_coverage,count,218
test,positive,sequence_coverage,minimum,1.0
test,positive,sequence_coverage,q1,1.0
test,positive,sequence_coverage,median,1.0
test,positive,sequence_coverage,q3,1.0
test,positive,sequence_coverage,maximum,1.0
