split,label,variable,statistic,value
train,negative,sequence_family,members,320
train,negative,sequence_family,sequence_clusters,320
train,negative,sequence_family,cluster_coverage_ratio,1.0
train,positive,sequence_family,members,320
train,positive,sequence_family,sequence_clusters,320
train,positive,sequence_family,cluster_coverage_ratio,1.0
val,negative,sequence_family,members,157
val,negative,sequence_family,sequence_clusters,154
val,negative,sequence_family,cluster_coverage_ratio,0.9808917197452229
val,positive,sequence_family,members,157
val,positive,sequence_family,sequence_clusters,155
val,positive,sequence_family,cluster_coverage_ratio,0.9872611464968153
test,negative,sequence_family,members,218
test,negative,sequence_family,sequence_clusters,218
test,negative,sequence_family,cluster_coverage_ratio,1.0
test,positive,sequence_family,members,218
test,positive,sequence_family,sequence_clusters,217
test,positive,sequence_family,cluster_coverage_ratio,0.9954128440366973
train,negative,sequence_length,count,320
train,negative,sequence_length,minimum,46.0
train,negative,sequence_length,q1,140.25
train,negative,sequence_length,median,241.5
train,negative,sequence_length,q3,390.0
train,negative,sequence_length,maximum,1551.0
train,negative,resolution_angstrom,count,297
train,negative,resolution_angstrom,minimum,0.92
train,negative,resolution_angstrom,q1,1.8
train,negative,resolution_angstrom,median,2.18
train,negative,resolution_angstrom,q3,2.7
train,negative,resolution_angstrom,maximum,4.0
train,negative,aspect_ratio,count,320
train,negative,aspect_ratio,minimum,1.1626141218199426
train,negative,aspect_ratio,q1,1.579595210906963
train,negative,aspect_ratio,median,1.8847008850562332
train,negative,aspect_ratio,q3,2.4156294028026166
train,negative,aspect_ratio,maximum,18.22957897501774
train,negative,sequence_coverage,count,320
train,negative,sequence_coverage,minimum,0.8
train,negative,sequence_coverage,q1,0.9056603773584906
train,negative,sequence_coverage,median,0.9597979797979798
train,negative,sequence_coverage,q3,0.9940783731890382
train,negative,sequence_coverage,maximum,1.0
train,positive,sequence_length,count,320
train,positive,sequence_length,minimum,54.0
train,positive,sequence_length,q1,154.0
train,positive,sequence_length,median,238.5
train,positive,sequence_length,q3,378.5
train,positive,sequence_length,maximum,997.0
train,positive,resolution_angstrom,count,320
train,positive,resolution_angstrom,minimum,1.3
train,positive,resolution_angstrom,q1,2.3
train,positive,resolution_angstrom,median,2.8
train,positive,resolution_angstrom,q3,3.1
train,positive,resolution_angstrom,maximum,3.5
train,positive,aspect_ratio,count,320
train,positive,aspect_ratio,minimum,1.1567296983874007
