identifier,interface_phenotype,probability
10EH_C,I001,0.585693563996384
10MI_D,I001,1.0
10YE_A,I001,1.0
10YE_B,I001,1.0
10YE_C,I001,1.0
10YE_D,I001,1.0
10YE_L,I001,1.0
10YH_C,I001,1.0
11HU_A,I001,0.8066268433819471
11LB_A,I001,1.0
11QF_B,I001,1.0
11YY_A,I001,1.0
12FK_A,I001,1.0
1A02_F,I001,0.9254307019918643
1A02_J,I001,0.9254307019918643
1A02_N,I001,1.0
1A0A_A,I001,0.6462430311353593
1A1G_A,I001,0.8813939973101087
1A1H_A,I001,0.9307955885042496
1A1I_A,I001,1.0
1A36_A,I001,1.0
1A3Q_A,I001,1.0
1A66_A,I001,0.9259495211888504
1A6B_B,I001,0.369686408339027
1A73_A,I001,0.876629669277078
1AAY_A,I001,1.0
1AHD_P,I001,0.9444495038560946
1AIS_A,I001,1.0
1AIS_B,I001,1.0
1AKH_B,I001,1.0
1AM9_C,I001,0.780948542912035
1AN2_A,I001,0.9316758008673084
1AN4_A,I001,0.7034689028256179
1AOI_C,I001,1.0
1AOI_D,I001,0.7768911796889563
1AOI_E,I001,1.0
1AWC_A,I001,1.0
1AZP_A,I001,1.0
1B3T_A,I001,1.0
1B69_A,I001,0.9689261663431666
1B8I_B,I001,1.0
1B96_A,I001,1.0
1B97_A,I001,1.0
1BBX_C,I001,0.5859985049296148
1BC8_C,I001,1.0
1BDH_A,I001,1.0
1BDT_B,I001,0.7553576329804699
1BDV_B,I001,0.7574602464099832
1BF4_A,I001,1.0
1BJ6_A,I001,0.4986956311372084
1BNK_A,I001,1.0
1BNZ_A,I001,1.0
1BRN_L,I001,0.7998270433344478
1BSS_A,I001,1.0
1BVO_A,I001,0.49771240978409503
1BY4_B,I001,1.0
1C0W_B,I001,1.0
1C7Y_A,I001,0.1655501551948452
1C8C_A,I001,1.0
1C9B_A,I001,0.8416915023159867
1C9B_B,I001,1.0
1CBV_H,I001,0.6926371882883735
1CBV_L,I001,0.9008581139258601
1CDW_A,I001,1.0
1CGP_A,I001,0.8553320666506451
1CIT_A,I001,0.9558094078572101
1CJG_A,I001,0.6260800232272772
1CKT_A,I001,0.8230438529633531
1CL8_A,I001,1.0
1CLQ_A,I001,0.7420556137537068
1CMA_A,I001,1.0
1CO0_A,I001,0.6320995251437214
1CW0_A,I001,0.7974035489692918
1CYQ_A,I001,1.0
1D02_B,I001,1.0
1D3U_A,I001,1.0
1D3U_B,I001,1.0
1D5Y_A,I001,0.9354850136363099
1D8Y_A,I001,0.9792272290902884
1DC1_B,I001,0.9115824874680591
1DCT_A,I001,1.0
1DE8_A,I001,0.9875217863552271
1DEW_B,I001,1.0
1DH3_A,I001,0.9254307019918643
1DMU_A,I001,1.0
1DP7_P,I001,0.9400794999467148
1DRG_A,I001,1.0
1DSZ_B,I001,1.0
1DU0_B,I001,1.0
1DUX_C,I001,1.0
1EA4_F,I001,0.9336793705876975
1EBM_A,I001,1.0
1EFA_B,I001,1.0
1EGW_B,I001,0.8579577507005886
1EHL_H,I001,0.9672708147894895
1EHL_L,I001,0.7937680443954753
1EMH_A,I001,1.0
1EOO_A,I001,1.0
1EQZ_E,I001,0.89614401959741
1EVW_A,I001,0.8590652960619732
1EWN_A,I001,1.0
1EYG_A,I001,0.42843998298226676
1EYU_A,I001,1.0
1F0V_A,I001,0.537310015102175
1F2I_G,I001,0.8090333071416024
1F44_A,I001,1.0
1F4S_P,I001,0.36739661888652203
1F5T_A,I001,1.0
1F6O_A,I001,1.0
1FIU_A,I001,0.8027903229404199
1FLO_B,I001,0.7904268306530001
1FN7_A,I001,1.0
1FOK_A,I001,1.0
1FOS_E,I001,0.9254307019918643
1FYM_A,I001,0.8046162004623062
1G2D_C,I001,0.9879019203576359
1G2F_C,I001,1.0
1G38_A,I001,1.0
1G4D_A,I001,0.7982276669928042
1G9Z_A,I001,0.9398786838463266
1GAT_A,I001,0.8386805961286079
1GCC_A,I001,0.6729710657925253
1GD2_E,I001,0.9210946552562702
1GDT_A,I001,0.7200792914134002
1GJI_A,I001,1.0
1GLU_A,I001,1.0
1GM5_A,I001,1.0
1GT0_D,I001,1.0
1GXP_A,I001,1.0
1H6F_B,I001,1.0
1H88_B,I001,0.9254307019918643
1H88_C,I001,1.0
1H89_A,I001,0.9254307019918643
1H9D_C,I001,0.8242810523636812
1H9T_A,I001,1.0
1HBX_E,I001,1.0
1HCR_A,I001,0.4883065055444701
1HDD_C,I001,1.0
1HHT_P,I001,0.821395533658072
1HJB_C,I001,0.8576020736163563
1HLO_A,I001,0.9316758008673084
1HLV_A,I001,0.7301822692420767
1HRY_A,I001,0.8446181516920082
1HUO_A,I001,0.8305254003201614
1HW2_A,I001,1.0
1HWT_D,I001,1.0
1HYS_A,I001,0.6956017842061671
1HYS_B,I_NOISE,0.0
1I6J_A,I001,0.855954628707797
1I7D_A,I001,1.0
1I8M_B,I001,0.8321514270375427
1IAW_A,I001,0.8297305198114358
1IF1_A,I001,1.0
1IG4_A,I001,0.8030639085406428
1IG7_A,I001,1.0
1IJS_P,I001,0.7365154711245411
1IMH_C,I001,1.0
1IU3_C,I001,1.0
1J3E_A,I001,1.0
1J46_A,I001,1.0
1J47_A,I001,0.8087252329789193
1J5N_A,I001,0.7702823044206882
1J5O_A,I001,1.0
1J5O_B,I_NOISE,0.0
1JEY_B,I001,0.9537552886061558
1JFI_C,I001,1.0
1JFS_A,I001,1.0
1JFT_A,I001,1.0
1JGG_A,I001,0.6221568110570344
1JH9_A,I001,1.0
1JJ4_B,I001,0.8454053910114344
1JK2_A,I001,1.0
1JMC_A,I001,0.9877861135474916
1JT0_A,I001,0.938368597156656
1K61_A,I001,0.9603339208192176
1K79_A,I001,1.0
1K82_A,I001,1.0
1KB6_B,I001,0.763851655478192
1KBU_A,I001,1.0
1KDH_A,I001,0.8024415621842202
1KEG_H,I001,0.9672708147894895
1KEG_L,I001,0.9269082419066247
1KLN_A,I001,0.8104843501903004
1KQQ_A,I001,0.8833928714423956
1KSX_A,I001,1.0
1KSY_B,I001,1.0
1KU7_A,I001,0.9862382140239386
1KX5_E,I001,1.0
1KX5_F,I001,0.8468194965583287
1L1M_A,I001,0.40399165772807843
1L2B_A,I001,0.7984864192432467
1LAT_B,I001,0.933214168289555
1LAU_E,I001,0.8333708343644836
1LBG_A,I_NOISE,0.0
1LCC_A,I001,0.5054291192112965
1LE5_A,I001,1.0
1LE5_B,I001,1.0
1LE8_A,I001,0.8622592105951123
1LFU_P,I001,0.8477581541949972
1LLI_B,I001,0.8759659755188451
1LLM_C,I001,0.8425009237544657
1LMB_4,I001,1.0
1LO1_A,I001,0.8536141098017247
1LPQ_A,I001,1.0
1LQ1_C,I001,0.6364064306259078
1LRR_A,I001,1.0
1LV5_A,I001,1.0
1LWY_A,I001,1.0
1M06_F,I001,0.7470988517820295
1M3Q_A,I001,1.0
1M5R_A,I001,1.0
1M5X_A,I001,1.0
1M6X_B,I001,0.8913969708356374
1MDY_A,I001,0.9316758008673084
