base_identifier,label,split,tier,sequence_cluster_id
10AC_A,0,train,core,rcsb-mmseqs2-30:41919_30
10MH_A,1,test,core,rcsb-mmseqs2-30:5573_30
1A0A_A,1,train,core,rcsb-mmseqs2-30:52758_30
1A6J_A,0,test,core,rcsb-mmseqs2-30:7260_30
1A73_A,1,val,core,rcsb-mmseqs2-30:4369_30
1AAZ_A,0,train,core,rcsb-mmseqs2-30:48462_30
1AG4_A,0,test,core,rcsb-mmseqs2-30:70079_30
1AKH_B,1,val,core,rcsb-mmseqs2-30:15848_30
1AL0_1,0,val,core,rcsb-mmseqs2-30:45182_30
1ALH_A,0,test,core,rcsb-mmseqs2-30:3460_30
1B4U_A,0,train,core,rcsb-mmseqs2-30:65936_30
1B5E_A,0,val,core,rcsb-mmseqs2-30:33535_30
1B94_A,1,test,core,rcsb-mmseqs2-30:6624_30
1B9H_A,0,train,core,rcsb-mmseqs2-30:7915_30
1BCH_1,0,test,core,rcsb-mmseqs2-30:3642_30
1BDT_B,1,train,core,rcsb-mmseqs2-30:16546_30
1BF6_A,0,test,core,rcsb-mmseqs2-30:6078_30
1BYP_A,0,train,core,rcsb-mmseqs2-30:2822_30
1C7Y_A,1,train,core,rcsb-mmseqs2-30:435_30
1C89_A,0,train,core,rcsb-mmseqs2-30:6387_30
1CBV_L,1,train,core,rcsb-mmseqs2-30:10_30
1CF7_B,1,validation_reserve,core,rcsb-mmseqs2-30:12440_30
1CHM_A,0,train,core,rcsb-mmseqs2-30:33182_30
1CI9_A,0,test,core,rcsb-mmseqs2-30:20986_30
1CKQ_A,1,train,core,rcsb-mmseqs2-30:20976_30
1CMA_A,1,test,core,rcsb-mmseqs2-30:2451_30
1CMN_A,0,train,core,rcsb-mmseqs2-30:4877_30
1CUH_A,0,train,core,rcsb-mmseqs2-30:3388_30
1CW0_A,1,test,core,rcsb-mmseqs2-30:21729_30
1CZJ_A,0,train,core,rcsb-mmseqs2-30:51682_30
1CZY_A,0,train,core,rcsb-mmseqs2-30:4557_30
1D02_B,1,test_reserve,core,rcsb-mmseqs2-30:79361_30
1D0D_A,0,test,core,rcsb-mmseqs2-30:42017_30
1D3U_B,1,train,core,rcsb-mmseqs2-30:65_30
1D5Y_A,1,train,core,rcsb-mmseqs2-30:7048_30
1D7E_A,0,test,core,rcsb-mmseqs2-30:1959_30
1DC1_B,1,test_reserve,core,rcsb-mmseqs2-30:53362_30
1DH3_A,1,val,challenge,rcsb-mmseqs2-30:7529_30
1DHI_A,0,val,core,rcsb-mmseqs2-30:875_30
1DL5_A,0,train,core,rcsb-mmseqs2-30:99459_30
1DMH_A,0,train,core,rcsb-mmseqs2-30:9740_30
1DMU_A,1,train,core,rcsb-mmseqs2-30:72328_30
1DXK_A,0,train,core,rcsb-mmseqs2-30:278_30
1E30_A,0,val,core,rcsb-mmseqs2-30:17578_30
1E39_A,0,train,core,rcsb-mmseqs2-30:9682_30
1E6W_A,0,test,core,rcsb-mmseqs2-30:3742_30
1EF8_A,0,test,core,rcsb-mmseqs2-30:16166_30
1EFA_B,1,train,core,rcsb-mmseqs2-30:6427_30
1EHK_A,0,val,core,rcsb-mmseqs2-30:4940_30
1EJA_B,0,train,core,rcsb-mmseqs2-30:18884_30
1EL6_A,0,train,core,rcsb-mmseqs2-30:23250_30
1EQ9_A,0,train,core,rcsb-mmseqs2-30:7073_30
1ESM_A,0,train,core,rcsb-mmseqs2-30:665_30
1EYU_A,1,test,core,rcsb-mmseqs2-30:18883_30
1EZ6_A,0,train,core,rcsb-mmseqs2-30:539_30
1F0V_A,1,test,core,rcsb-mmseqs2-30:398_30
1F5M_A,0,train,core,rcsb-mmseqs2-30:7816_30
1F6O_A,1,train,core,rcsb-mmseqs2-30:2021_30
1FIU_A,1,train,core,rcsb-mmseqs2-30:40310_30
1FOK_A,1,train,core,rcsb-mmseqs2-30:62964_30
1FPZ_A,0,train,core,rcsb-mmseqs2-30:25091_30
1G63_A,0,test,core,rcsb-mmseqs2-30:4857_30
1G8K_B,0,train,core,rcsb-mmseqs2-30:20403_30
1GD2_E,1,train,challenge,rcsb-mmseqs2-30:99512_30
1GFF_2,0,train,core,rcsb-mmseqs2-30:19836_30
1GH9_A,0,val,core,rcsb-mmseqs2-30:101328_30
1GKA_B,0,test,core,rcsb-mmseqs2-30:17166_30
1GKR_A,0,train,core,rcsb-mmseqs2-30:74966_30
1GM5_A,1,val,core,rcsb-mmseqs2-30:5469_30
1GPI_A,0,train,core,rcsb-mmseqs2-30:1289_30
1GWT_A,0,train,core,rcsb-mmseqs2-30:1475_30
1H0H_B,0,train,core,rcsb-mmseqs2-30:3451_30
1H2G_B,0,train,core,rcsb-mmseqs2-30:2782_30
1H2H_A,0,val,core,rcsb-mmseqs2-30:45940_30
1H88_B,1,val,challenge,rcsb-mmseqs2-30:9703_30
1HBX_E,1,train,core,rcsb-mmseqs2-30:22830_30
1HCR_A,1,validation_reserve,core,rcsb-mmseqs2-30:3416_30
1HLQ_A,0,train,core,rcsb-mmseqs2-30:24342_30
1HLV_A,1,test,core,rcsb-mmseqs2-30:24917_30
1I3J_A,1,validation_reserve,challenge,rcsb-mmseqs2-30:79645_30
1I7H_A,0,train,core,rcsb-mmseqs2-30:6961_30
1I8D_A,0,train,core,rcsb-mmseqs2-30:7468_30
1IAW_A,1,train,core,rcsb-mmseqs2-30:66229_30
1IBJ_A,0,train,core,rcsb-mmseqs2-30:1052_30
1IO7_A,0,train,core,rcsb-mmseqs2-30:12861_30
1IUH_A,0,train,core,rcsb-mmseqs2-30:14559_30
1IXY_A,1,train,core,rcsb-mmseqs2-30:10920_30
1J8M_F,0,train,core,rcsb-mmseqs2-30:1190_30
1JAY_A,0,train,core,rcsb-mmseqs2-30:28547_30
1JB0_A,0,train,core,rcsb-mmseqs2-30:172_30
1JET_A,0,val,core,rcsb-mmseqs2-30:1549_30
1JFI_A,1,train,core,rcsb-mmseqs2-30:131661_30
1JFI_B,1,train,core,rcsb-mmseqs2-30:31991_30
1JFT_A,1,train,core,rcsb-mmseqs2-30:942_30
1JGT_A,0,train,core,rcsb-mmseqs2-30:33452_30
1JLJ_A,0,train,core,rcsb-mmseqs2-30:3207_30
1JLK_A,0,val,core,rcsb-mmseqs2-30:1637_30
1JNR_A,0,train,core,rcsb-mmseqs2-30:23721_30
1JT0_A,1,train,core,rcsb-mmseqs2-30:7055_30
1JUH_A,0,train,core,rcsb-mmseqs2-30:34702_30
1K1E_A,0,train,core,rcsb-mmseqs2-30:2225_30
1KDJ_A,0,train,core,rcsb-mmseqs2-30:12061_30
1KLN_A,1,train,core,rcsb-mmseqs2-30:599_30
1KSY_B,1,train,core,rcsb-mmseqs2-30:40414_30
1KTB_A,0,test,core,rcsb-mmseqs2-30:2578_30
1KX5_A,1,test,core,rcsb-mmseqs2-30:38_30
1KX5_D,1,test,core,rcsb-mmseqs2-30:251_30
1KYZ_A,0,test,core,rcsb-mmseqs2-30:1097_30
1KZ1_A,0,train,core,rcsb-mmseqs2-30:3097_30
1KZL_A,0,train,core,rcsb-mmseqs2-30:6465_30
1LFW_A,0,train,core,rcsb-mmseqs2-30:7579_30
1LG7_A,0,train,core,rcsb-mmseqs2-30:33876_30
1LQ1_C,1,train,core,rcsb-mmseqs2-30:7911_30
1LRI_A,0,test,core,rcsb-mmseqs2-30:16318_30
1LT4_A,0,test,core,rcsb-mmseqs2-30:6092_30
1LVM_A,0,train,core,rcsb-mmseqs2-30:38167_30
1LWB_A,0,train,core,rcsb-mmseqs2-30:41230_30
1LXJ_A,0,train,core,rcsb-mmseqs2-30:11090_30
