base_identifier,label,split,tier,sequence_cluster_id
10MH_A,1,test,core,rcsb-mmseqs2-30:5573_30
1A0A_A,1,train,core,rcsb-mmseqs2-30:52758_30
1A6J_A,0,test,core,rcsb-mmseqs2-30:7260_30
1A73_A,1,val,core,rcsb-mmseqs2-30:4369_30
1AG4_A,0,test,core,rcsb-mmseqs2-30:70079_30
1AKH_B,1,val,core,rcsb-mmseqs2-30:15848_30
1AL0_1,0,val,core,rcsb-mmseqs2-30:45182_30
1ALH_A,0,test,core,rcsb-mmseqs2-30:3460_30
1B5E_A,0,val,core,rcsb-mmseqs2-30:33535_30
1B94_A,1,test,core,rcsb-mmseqs2-30:6624_30
1BCH_1,0,test,core,rcsb-mmseqs2-30:3642_30
1BF6_A,0,test,core,rcsb-mmseqs2-30:6078_30
1CI9_A,0,test,core,rcsb-mmseqs2-30:20986_30
1CMA_A,1,test,core,rcsb-mmseqs2-30:2451_30
1CW0_A,1,test,core,rcsb-mmseqs2-30:21729_30
1CZJ_A,0,train,core,rcsb-mmseqs2-30:51682_30
1D0D_A,0,test,core,rcsb-mmseqs2-30:42017_30
1D3U_B,1,train,core,rcsb-mmseqs2-30:65_30
1D7E_A,0,test,core,rcsb-mmseqs2-30:1959_30
1DH3_A,1,val,challenge,rcsb-mmseqs2-30:7529_30
1DHI_A,0,val,core,rcsb-mmseqs2-30:875_30
1E30_A,0,val,core,rcsb-mmseqs2-30:17578_30
1E6W_A,0,test,core,rcsb-mmseqs2-30:3742_30
1EF8_A,0,test,core,rcsb-mmseqs2-30:16166_30
1EHK_A,0,val,core,rcsb-mmseqs2-30:4940_30
1EL6_A,0,train,core,rcsb-mmseqs2-30:23250_30
1EYU_A,1,test,core,rcsb-mmseqs2-30:18883_30
1F0V_A,1,test,core,rcsb-mmseqs2-30:398_30
1G63_A,0,test,core,rcsb-mmseqs2-30:4857_30
1GH9_A,0,val,core,rcsb-mmseqs2-30:101328_30
1GKA_B,0,test,core,rcsb-mmseqs2-30:17166_30
1GM5_A,1,val,core,rcsb-mmseqs2-30:5469_30
1H2H_A,0,val,core,rcsb-mmseqs2-30:45940_30
1H88_B,1,val,challenge,rcsb-mmseqs2-30:9703_30
1HLV_A,1,test,core,rcsb-mmseqs2-30:24917_30
