left,right,reasons
10YE_A,10YE_B,"[""same_pdb_deposition""]"
10YE_A,10YE_C,"[""same_pdb_deposition""]"
10YE_A,10YE_D,"[""same_pdb_deposition""]"
10YE_A,10YE_L,"[""same_pdb_deposition""]"
1A02_F,1A02_J,"[""same_pdb_deposition""]"
1A02_F,1A02_N,"[""same_pdb_deposition""]"
1AIS_A,1AIS_B,"[""same_pdb_deposition""]"
1AOI_C,1AOI_D,"[""same_pdb_deposition""]"
1AOI_C,1AOI_E,"[""same_pdb_deposition""]"
1C9B_A,1C9B_B,"[""same_pdb_deposition""]"
1CBV_H,1CBV_L,"[""same_pdb_deposition""]"
1D3U_A,1D3U_B,"[""same_pdb_deposition""]"
1EHL_H,1EHL_L,"[""same_pdb_deposition""]"
1H88_B,1H88_C,"[""same_pdb_deposition""]"
1HYS_A,1HYS_B,"[""same_pdb_deposition""]"
1J5O_A,1J5O_B,"[""same_pdb_deposition""]"
1KEG_H,1KEG_L,"[""same_pdb_deposition""]"
1KX5_E,1KX5_F,"[""same_pdb_deposition""]"
1LE5_A,1LE5_B,"[""same_pdb_deposition""]"
1M06_F,1M06_G,"[""same_pdb_deposition""]"
1MDY_A,1MDY_B,"[""same_pdb_deposition""]"
1NKP_A,1NKP_B,"[""same_pdb_deposition""]"
1NLW_A,1NLW_B,"[""same_pdb_deposition""]"
1OWF_A,1OWF_B,"[""same_pdb_deposition""]"
1PH3_A,1PH3_B,"[""same_pdb_deposition""]"
1PUF_A,1PUF_B,"[""same_pdb_deposition""]"
1R0A_A,1R0A_B,"[""same_pdb_deposition""]"
1RTD_A,1RTD_B,"[""same_pdb_deposition""]"
1S9K_C,1S9K_D,"[""same_pdb_deposition""]"
1S9K_C,1S9K_E,"[""same_pdb_deposition""]"
1T2K_A,1T2K_C,"[""same_pdb_deposition""]"
1T2K_A,1T2K_D,"[""same_pdb_deposition""]"
1VOL_A,1VOL_B,"[""same_pdb_deposition""]"
1W36_B,1W36_C,"[""same_pdb_deposition""]"
22EU_A,22EU_B,"[""same_pdb_deposition""]"
2AD6_A,2AD6_B,"[""same_pdb_deposition""]"
2BPA_1,2BPA_3,"[""same_pdb_deposition""]"
2FR4_A,2FR4_B,"[""same_pdb_deposition""]"
2H1O_A,2H1O_E,"[""same_pdb_deposition""]"
2HMI_A,2HMI_B,"[""same_pdb_deposition""]"
2NLL_A,2NLL_B,"[""same_pdb_deposition""]"
2O61_A,2O61_B,"[""same_pdb_deposition""]"
2OK0_H,2OK0_L,"[""same_pdb_deposition""]"
2PJR_B,2PJR_F,"[""same_pdb_deposition""]"
2QBY_A,2QBY_B,"[""same_pdb_deposition""]"
2QL2_B,2QL2_C,"[""same_pdb_deposition""]"
2V2T_A,2V2T_B,"[""same_pdb_deposition""]"
2VBJ_A,2VBJ_B,"[""same_pdb_deposition""]"
2VBL_A,2VBL_B,"[""same_pdb_deposition""]"
2VBO_A,2VBO_B,"[""same_pdb_deposition""]"
2VTB_A,2VTB_B,"[""same_pdb_deposition""]"
