global_phenotype,identifier,probability
G_NOISE,10AC_A,0.0
G_NOISE,10EH_C,0.0
G_NOISE,10FI_Y,0.0
G024,10MI_D,1.0
G009,10YE_A,0.9667217288501387
G010,10YE_B,1.0
G008,10YE_C,0.9413010585071176
G011,10YE_D,1.0
G028,10YE_L,1.0
G008,10YH_C,1.0
G_NOISE,11HU_A,0.0
G_NOISE,11LB_A,0.0
G_NOISE,11MP_D,0.0
G_NOISE,11QF_B,0.0
G_NOISE,11YY_A,0.0
G044,12FK_A,1.0
G001,1A02_F,1.0
G001,1A02_J,1.0
G_NOISE,1A02_N,0.0
G_NOISE,1A0A_A,0.0
G_NOISE,1A12_A,0.0
G003,1A1G_A,1.0
G003,1A1H_A,1.0
G003,1A1I_A,1.0
G_NOISE,1A2Z_A,0.0
G_NOISE,1A36_A,0.0
G_NOISE,1A3Q_A,0.0
G013,1A66_A,1.0
G_NOISE,1A6B_B,0.0
G_NOISE,1A6J_B,0.0
G_NOISE,1A73_A,0.0
G003,1AAY_A,1.0
G_NOISE,1AAZ_A,0.0
G_NOISE,1AG4_A,0.0
G_NOISE,1AHD_P,0.0
G_NOISE,1AIS_A,0.0
G_NOISE,1AIS_B,0.0
G_NOISE,1AKH_B,0.0
G_NOISE,1AL0_4,0.0
G_NOISE,1ALH_A,0.0
G_NOISE,1AM9_C,0.0
G_NOISE,1AN2_A,0.0
G_NOISE,1AN4_A,0.0
G008,1AOI_C,0.3903598556943252
G011,1AOI_D,0.8521345777950261
G_NOISE,1AOI_E,0.0
G_NOISE,1AWC_A,0.0
G006,1AZP_A,1.0
G028,1B3T_A,0.8502743556112916
G_NOISE,1B4U_A,0.0
G_NOISE,1B69_A,0.0
G007,1B8I_B,0.9481567289838496
G_NOISE,1B96_A,0.0
G_NOISE,1B97_A,0.0
G_NOISE,1B9H_A,0.0
G006,1BBX_C,0.9872664100272179
G_NOISE,1BC8_C,0.0
G_NOISE,1BCH_1,0.0
G_NOISE,1BDH_A,0.0
G_NOISE,1BDT_B,0.0
G_NOISE,1BDV_B,0.0
G006,1BF4_A,1.0
G_NOISE,1BF6_A,0.0
G_NOISE,1BJ6_A,0.0
G018,1BNK_A,1.0
G006,1BNZ_A,1.0
G017,1BRN_L,0.8031991311058484
G_NOISE,1BSS_A,0.0
G_NOISE,1BVO_A,0.0
G005,1BY4_B,0.9501925026180874
G_NOISE,1BYF_A,0.0
G_NOISE,1BYP_A,0.0
G_NOISE,1C0W_B,0.0
