identifier,leakage_group
10AC_A,L00001
10EH_C,L00002
10FI_Y,L00003
10MI_D,L00004
10YE_A,L00005
10YE_B,L00005
10YE_C,L00005
10YE_D,L00005
10YE_L,L00005
10YH_C,L00005
11HU_A,L00006
11LB_A,L00007
11MP_D,L00008
11QF_B,L00009
11YY_A,L00007
12FK_A,L00009
1A02_F,L00010
1A02_J,L00010
1A02_N,L00010
1A0A_A,L00011
1A12_A,L00012
1A1G_A,L00013
1A1H_A,L00013
1A1I_A,L00013
1A2Z_A,L00014
1A36_A,L00015
1A3Q_A,L00016
1A66_A,L00017
1A6B_B,L00018
1A6J_B,L00019
1A73_A,L00020
1AAY_A,L00013
1AAZ_A,L00021
1AG4_A,L00022
1AHD_P,L00023
1AIS_A,L00024
1AIS_B,L00024
1AKH_B,L00025
1AL0_4,L00026
1ALH_A,L00027
1AM9_C,L00028
1AN2_A,L00029
1AN4_A,L00030
1AOI_C,L00005
1AOI_D,L00005
1AOI_E,L00005
1AWC_A,L00010
1AZP_A,L00031
1B3T_A,L00032
1B4U_A,L00033
1B69_A,L00034
1B8I_B,L00023
1B96_A,L00035
1B97_A,L00035
1B9H_A,L00036
1BBX_C,L00031
1BC8_C,L00010
1BCH_1,L00037
1BDH_A,L00038
1BDT_B,L00039
1BDV_B,L00039
1BF4_A,L00031
1BF6_A,L00040
1BJ6_A,L00041
1BNK_A,L00042
1BNZ_A,L00031
1BRN_L,L00043
1BSS_A,L00035
1BVO_A,L00044
1BY4_B,L00045
1BYF_A,L00046
1BYP_A,L00047
1C0W_B,L00048
1C7J_A,L00049
1C7Y_A,L00050
1C89_A,L00051
1C8C_A,L00031
1C9B_A,L00024
1C9B_B,L00024
1CBV_H,L00052
1CBV_L,L00052
1CDW_A,L00024
1CGP_A,L00053
1CHM_A,L00054
1CI9_A,L00055
1CIT_A,L00045
1CJG_A,L00056
1CKT_A,L00057
1CKV_A,L00058
1CL8_A,L00059
1CLQ_A,L00060
1CMA_A,L00061
1CMN_A,L00062
1CO0_A,L00063
1CUH_A,L00064
1CW0_A,L00065
1CYQ_A,L00020
1CZJ_A,L00066
1CZY_A,L00067
1D02_B,L00068
1D0D_A,L00069
1D3U_A,L00024
1D3U_B,L00024
1D5Y_A,L00070
1D7E_A,L00071
1D8Y_A,L00072
1DC1_B,L00073
1DCT_A,L00074
1DE8_A,L00075
1DEW_B,L00075
1DH3_A,L00076
1DHI_A,L00077
1DL5_A,L00078
1DMH_A,L00079
1DMU_A,L00080
1DP7_P,L00081
1DQE_A,L00082
1DRG_A,L00083
1DSZ_B,L00045
1DU0_B,L00023
1DUX_C,L00010
1DXK_A,L00084
1E0X_A,L00085
1E30_A,L00086
1E39_A,L00087
1E4F_T,L00088
1E6W_D,L00089
1EA4_F,L00090
1EBM_A,L00091
1EF9_A,L00092
1EFA_B,L00038
1EGL_A,L00093
1EGW_B,L00023
1EH9_A,L00094
1EHK_A,L00095
1EHL_H,L00052
1EHL_L,L00052
1EMH_A,L00096
1EOO_A,L00035
1EQ9_A,L00097
1EQZ_E,L00005
1EVW_A,L00020
1EWN_A,L00042
1EYG_A,L00098
1EYU_A,L00099
1EZ6_A,L00100
1F0V_A,L00101
1F2I_G,L00102
1F44_A,L00083
1F4S_P,L00103
1F4T_A,L00062
1F5M_B,L00104
1F5T_A,L00105
1F6O_A,L00042
1F94_A,L00106
1FIU_A,L00107
1FLO_B,L00108
1FN7_A,L00091
1FOK_A,L00109
1FOS_E,L00010
1FYM_A,L00110
1FZ1_F,L00111
1G2D_C,L00013
1G2F_C,L00013
1G38_A,L00112
1G4D_A,L00113
1G63_B,L00114
1G8K_B,L00115
1G9Z_A,L00116
1GAT_A,L00117
1GCC_A,L00118
1GD2_E,L00119
1GDT_A,L00120
1GFF_2,L00121
1GH9_A,L00122
1GJI_A,L00016
1GKA_B,L00123
1GLU_A,L00045
1GM5_A,L00124
1GO3_E,L00125
1GP0_A,L00126
1GT0_D,L00057
1GWT_A,L00127
1GXP_A,L00128
1H0H_B,L00129
1H1I_B,L00130
1H2G_B,L00131
1H6F_B,L00023
1H88_B,L00132
1H88_C,L00132
1H89_A,L00132
1H9D_C,L00010
1H9T_A,L00133
1HBX_E,L00134
1HCR_A,L00135
1HDD_C,L00023
1HHT_P,L00136
1HJB_C,L00010
1HLO_A,L00029
1HLQ_A,L00137
1HLV_A,L00138
1HM2_A,L00139
1HQI_A,L00140
1HQM_E,L00141
1HRY_A,L00057
1HUO_A,L00142
1HW2_A,L00133
1HWT_D,L00143
1HYS_A,L00144
1HYS_B,L00144
1I6J_A,L00145
1I7D_A,L00007
1I7H_A,L00146
1I8D_A,L00147
1I8M_B,L00052
1IAW_A,L00148
1IF1_A,L00010
1IG4_A,L00149
1IG7_A,L00023
1IJS_P,L00150
1IMH_C,L00010
1IU3_C,L00151
1IUH_A,L00152
1J3E_A,L00151
1J46_A,L00057
1J47_A,L00057
1J5N_A,L00153
1J5O_A,L00144
1J5O_B,L00144
1J8M_F,L00154
1JAY_A,L00155
1JET_A,L00156
1JEY_B,L00005
1JFI_C,L00024
1JFS_A,L00038
1JFT_A,L00038
1JGG_A,L00023
1JGT_B,L00157
1JH9_A,L00038
1JJ4_B,L00158
1JK2_A,L00013
1JLK_A,L00159
1JMC_A,L00160
1JNR_A,L00161
1JT0_A,L00162
1JUV_A,L00163
1K0H_A,L00164
1K61_A,L00165
1K79_A,L00010
1K82_A,L00166
1KB6_B,L00045
1KBU_A,L00083
1KDH_A,L00142
1KDJ_A,L00047
1KEG_H,L00052
1KEG_L,L00052
1KLN_A,L00072
1KQQ_A,L00167
1KSX_A,L00168
1KSY_B,L00168
1KTB_A,L00169
1KU7_A,L00170
1KX5_E,L00005
1KX5_F,L00005
1KYZ_E,L00171
1KZ1_C,L00172
1KZL_A,L00147
1L1M_A,L00056
1L2B_A,L00166
1LAT_B,L00045
1LAU_E,L00096
1LBG_A,L00038
1LCC_A,L00056
1LE5_A,L00016
1LE5_B,L00016
1LE8_A,L00023
1LFU_P,L00023
1LFW_A,L00173
1LLI_B,L00174
1LLM_C,L00175
1LMB_4,L00174
1LO1_A,L00045
1LPQ_A,L00015
1LQ1_C,L00176
1LRI_A,L00177
1LRR_A,L00151
1LT4_A,L00178
1LV5_A,L00072
1LVM_A,L00179
1LWB_A,L00180
1LWY_A,L00091
1M06_F,L00121
1M06_G,L00121
1M3Q_A,L00091
1M5R_A,L00181
1M5X_A,L00116
1M6X_B,L00108
1MDY_A,L00182
1MDY_B,L00182
1MEY_F,L00013
1MHD_A,L00183
1MJE_A,L00184
1MJO_A,L00061
1MM8_A,L00185
1MOW_A,L00186
1MSE_C,L00187
1MSW_D,L00188
1MUH_A,L00185
1MUS_A,L00185
1MVM_A,L00150
1MW8_X,L00189
1MWI_A,L00190
1MWW_A,L00191
1N3A_A,L00091
1N3C_A,L00091
1N3E_A,L00116
1N40_A,L00062
1N48_A,L00192
1N6J_A,L00023
1N6Z_A,L00193
1NBA_D,L00194
1NFK_A,L00016
1NG6_A,L00195
1NG9_A,L00196
1NK2_P,L00023
1NK4_A,L00072
1NKP_A,L00029
1NKP_B,L00029
1NLW_A,L00029
1NLW_B,L00029
1NNE_A,L00196
1NVP_A,L00024
1NWQ_A,L00132
1NWW_B,L00197
1NZB_A,L00083
1O3Q_A,L00053
1O3S_A,L00053
1ODG_A,L00065
1ODH_A,L00198
1ODZ_A,L00199
1OE4_A,L00200
1OJQ_A,L00201
1ORN_A,L00202
1OSB_A,L00203
1OUP_A,L00204
1OWF_A,L00205
1OWF_B,L00205
1OWG_B,L00205
1OWR_M,L00010
1OX3_A,L00206
1P0W_B,L00207
1P1L_A,L00208
1P47_A,L00013
1P4E_B,L00108
1P59_A,L00202
1P5W_A,L00150
1P71_A,L00205
1P7H_L,L00010
1PAH_A,L00209
1PAV_A,L00210
1PC5_A,L00211
1PDN_C,L00212
1PER_L,L00213
1PF3_A,L00214
1PF5_A,L00215
1PFI_A,L00216
1PGT_A,L00217
1PGZ_A,L00218
1PH1_A,L00219
1PH3_A,L00219
1PH3_B,L00219
1PH5_A,L00219
1PH6_B,L00219
1PIX_A,L00220
1PJJ_A,L00166
1PO6_A,L00218
1PPF_I,L00221
1PRC_C,L00222
1PRN_A,L00223
1PT3_A,L00224
1PUE_F,L00010
1PUF_A,L00023
1PUF_B,L00023
1PVP_A,L00083
1PVR_A,L00083
1PYI_A,L00225
1Q0R_A,L00226
1Q0T_A,L00227
1Q19_A,L00157
1Q23_B,L00228
1Q27_A,L00229
1Q3U_A,L00083
1Q4T_A,L00230
1Q5E_A,L00062
1Q9Y_A,L00060
1QAI_A,L00145
1QAJ_A,L00145
1QEX_A,L00231
1QHX_A,L00232
1QP9_A,L00143
1QPI_A,L00233
1QPS_A,L00059
1QPZ_A,L00038
1QRH_A,L00059
1QRI_A,L00059
1QRV_A,L00234
1QSS_A,L00072
1QTM_A,L00072
1QUM_A,L00235
1QZG_A,L00236
1R0A_A,L00144
1R0A_B,L00144
1R0N_A,L00045
1R2Z_A,L00166
1R49_A,L00015
1R8D_A,L00237
1R8E_A,L00238
1RCS_A,L00063
1RFX_A,L00239
1RNB_A,L00043
1RQW_A,L00240
1RTD_A,L00144
1RTD_B,L00144
1RUO_B,L00053
1RWI_A,L00241
1RXW_A,L00242
1RYL_A,L00243
1RZM_A,L00244
1RZT_A,L00142
1S40_A,L00245
1S9K_C,L00010
1S9K_D,L00010
1S9K_E,L00010
1S9R_A,L00246
1SA3_A,L00247
1SAX_A,L00248
1SFU_A,L00249
1SK7_A,L00250
1SQU_B,L00251
1SR8_A,L00252
1SUM_B,L00253
1SUW_A,L00254
1SUZ_A,L00035
1SX5_A,L00035
1T03_B,L00144
1T05_B,L00144
1T2K_A,L00010
1T2K_C,L00010
1T2K_D,L00010
1T2S_A,L00255
1T3N_A,L00192
1T6K_A,L00256
1T71_A,L00257
1T8E_B,L00258
1T9I_B,L00116
1T9J_A,L00116
1TAU_A,L00259
1TC3_C,L00260
1TDP_A,L00261
1TDZ_A,L00166
1TEJ_B,L00262
1TEZ_A,L00263
1TF3_A,L00013
1TF6_D,L00264
1TGH_A,L00024
1TKD_A,L00265
1TM9_A,L00266
1TQE_P,L00023
1TRO_A,L00063
1TRR_A,L00063
1TV9_A,L00142
1TWU_A,L00267
1U0C_A,L00116
1U0D_A,L00116
1U1Q_A,L00218
1U3E_M,L00268
1U4B_A,L00072
1U8R_H,L00048
1UAA_A,L00269
1UBD_C,L00264
1ULI_C,L00270
1UMD_A,L00271
1USY_A,L00272
1UUT_A,L00273
1V15_B,L00224
1V1A_A,L00274
1V3I_A,L00275
1VAS_A,L00276
1VC1_A,L00277
1VDW_A,L00278
1VFC_A,L00279
1VKX_A,L00016
1VLC_A,L00280
1VOL_A,L00024
1VOL_B,L00024
1VPW_A,L00038
1VRL_A,L00281
1VTL_E,L00024
1VTN_C,L00010
1VTO_B,L00024
1W0T_A,L00279
1W0U_A,L00279
1W36_B,L00282
1W36_C,L00282
1W7A_A,L00196
1WB9_A,L00196
1WBA_A,L00283
1WBB_A,L00196
1WBD_A,L00196
1WC2_A,L00284
1WM4_A,L00285
1WPI_A,L00286
1WSR_A,L00287
1WTB_A,L00288
1WTE_A,L00289
1WTO_A,L00031
1WTQ_A,L00031
1WTR_A,L00031
1WTW_A,L00031
1WVL_A,L00031
1X9E_A,L00290
1X9J_A,L00291
1XBR_A,L00023
1XFI_A,L00292
1XJV_A,L00293
1XN8_A,L00294
1XNS_A,L00083
1XO0_A,L00083
1XS9_A,L00295
1XSD_A,L00248
1XSL_A,L00142
1XXU_A,L00296
1XYI_A,L00031
1Y1P_A,L00297
1Y23_B,L00298
1Y6F_A,L00299
1YCL_A,L00300
1YF3_A,L00227
1YFH_A,L00301
1YFJ_A,L00227
1YNV_X,L00302
1YO5_C,L00010
1YPQ_B,L00303
1YQK_A,L00091
1YQR_A,L00091
1YS6_B,L00304
1YSA_C,L00305
1YT5_A,L00254
1YTB_A,L00024
1YTN_A,L00306
1YU0_A,L00307
1YUI_A,L00308
1YUK_A,L00309
1YX7_A,L00310
1Z9C_C,L00311
1ZAA_C,L00013
1ZBI_B,L00312
1ZBL_A,L00312
1ZCJ_A,L00313
1ZDS_B,L00314
1ZGS_A,L00315
1ZHV_A,L00316
1ZME_C,L00317
1ZQ3_P,L00023
1ZR4_A,L00120
1ZRF_A,L00053
1ZS4_A,L00318
1ZTG_B,L00319
1ZTW_A,L00145
1ZVO_C,L00320
1ZVV_A,L00038
1ZYQ_A,L00265
1ZZI_A,L00319
21NP_A,L00321
21VV_K,L00322
22EU_A,L00323
22EU_B,L00323
23NX_A,L00324
24BP_A,L00325
24BQ_A,L00325
24QP_Q,L00326
25EC_B,L00327
25HS_D,L00328
25QC_A,L00329
28KE_B,L00330
28OP_N,L00331
2A3V_B,L00332
2A6O_A,L00333
2A6Z_A,L00334
2A8D_A,L00335
2ACJ_C,L00249
2AD6_A,L00336
2AD6_B,L00336
2AHV_A,L00337
2AJQ_A,L00265
2AN3_B,L00338
2AOR_B,L00339
2AS5_M,L00010
2ASD_A,L00192
2AYG_A,L00158
2B5X_A,L00340
2B7U_A,L00341
2B99_C,L00342
2B9S_A,L00343
2BAM_B,L00344
2BDP_A,L00072
2BGH_A,L00345
2BGW_A,L00346
2BJC_A,L00056
2BNW_B,L00347
2BOL_A,L00348
2BOP_A,L00158
2BPA_1,L00121
2BPA_3,L00121
2BSQ_A,L00349
2BT1_A,L00350
2BVW_A,L00351
2BZF_A,L00352
2C12_A,L00353
2C5R_B,L00354
2C62_A,L00355
2C7A_A,L00045
2C7P_A,L00074
2C7R_A,L00074
2C9L_Y,L00356
2C9N_Y,L00356
2CCZ_A,L00357
2CLI_B,L00358
2CN3_A,L00359
2CWL_A,L00360
2CY3_A,L00066
2D1C_A,L00361
2D7D_A,L00362
2D8M_A,L00363
2DE6_B,L00364
2DNJ_A,L00365
2DP6_A,L00366
2DPD_B,L00367
2DRP_D,L00368
2DTU_A,L00060
2DWM_A,L00369
2E52_A,L00370
2E5V_A,L00371
2EA0_A,L00166
2EB6_A,L00372
2EGJ_A,L00373
2EIU_E,L00374
2EJA_A,L00375
2ER8_A,L00376
2ERG_A,L00376
2ES2_A,L00377
2EX5_A,L00378
2EXF_A,L00041
